Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2022-12-31,2022-09-30,2022-07-31,2022-04-30
Header,Filing Date,2026-05-06,2026-02-02,2025-11-13,2025-08-06,2025-05-07,2025-02-05,2024-11-14,2024-08-07,2024-05-07,2024-02-07,2024-01-24,2023-08-09,2023-05-10,2023-02-08,2023-01-24,2022-08-10,2022-05-11
Revenue & Margin,Segment-1,-,-,Admission,-,-,-,Subscription fees,-,-,-,Subscription fees,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,20.7%,-,-,-,22.4%,-,-,-,20.2%,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,Advertising,-,-,-,Affiliate fees,-,-,-,Affiliate fees,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,19.6%,-,-,-,17.6%,-,-,-,19.0%,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,"Retail and wholesale sales of merchandise, food and beverage",-,-,-,Advertising,-,-,-,Advertising,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,17.0%,-,-,-,13.0%,-,-,-,13.0%,-,-,-,-,-,-
Revenue & Margin,Others,-,-,"Resort and vacations, Other Revenue, License, TV/SVOD distribution licensing, Theatrical distribution licensing",-,-,-,"Admission, Retail and wholesale sales of merchandise, food and beverage, Resort and vacations, Other Revenue, License, TV/SVOD distribution licensing, Theatrical distribution licensing, Entertainment",-,-,-,"Admission, Retail and wholesale sales of merchandise, food and beverage, Resort and vacations, Other Revenue, Theatrical distribution licensing, License, TV/SVOD distribution licensing, Entertainment",-,-,-,-,-,-
Revenue & Margin,Others %,-,-,42.7%,-,-,-,47.0%,-,-,-,47.9%,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"97,263,000","95,716,000","94,425,000","94,535,000","94,040,000","92,502,000","91,361,000","90,028,000","89,203,000","88,935,000","88,898,000","87,807,000","86,981,000","84,415,000","82,722,000","81,106,000","76,624,000"
Revenue & Margin,Rev-CoGS / Rev,37.16%,37.28%,37.76%,37.61%,37.10%,36.74%,35.75%,35.36%,35.03%,34.33%,33.41%,32.77%,33.04%,33.40%,34.24%,34.43%,33.79%
Revenue & Margin,Rev-CoGS-SG&A / Rev,19.90%,19.85%,20.29%,20.30%,19.98%,19.54%,18.50%,18.18%,17.69%,17.14%,16.15%,14.50%,14.33%,13.94%,14.43%,14.73%,14.16%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,15.50%,14.24%,14.65%,14.78%,14.55%,14.11%,13.04%,12.50%,11.81%,11.17%,10.11%,8.49%,8.33%,7.78%,8.18%,8.42%,7.50%
Revenue & Margin,Net Income / Rev,11.54%,12.80%,13.14%,12.22%,9.47%,6.07%,5.44%,5.31%,1.90%,3.36%,2.65%,2.56%,4.74%,3.93%,3.80%,3.87%,3.46%
EBITDA,Net Income ($k),"11,224,000","12,252,000","12,404,000","11,551,000","8,910,000","5,615,000","4,972,000","4,776,000","1,695,000","2,986,000","2,354,000","2,252,000","4,121,000","3,320,000","3,145,000","3,142,000","2,651,000"
EBITDA,D & A ($k),"5,447,000","5,366,000","5,326,000","5,217,000","5,105,000","5,023,000","4,990,000","5,114,000","5,238,000","5,306,000","5,369,000","5,277,000","5,223,000","5,200,000","5,163,000","5,121,000","5,097,000"
EBITDA,Net Interest Expense ($k),"1,418,000","1,524,000","1,566,000","1,513,000","1,557,000","1,522,000","1,435,000","1,024,000","987,000","998,000","952,000","1,253,000","1,321,000","1,354,000","1,381,000","1,437,000","1,477,000"
EBITDA,Tax Provision ($k),"199,000","-1,235,000","-1,428,000","-1,646,000","1,337,000","2,092,000","1,796,000","1,725,000","1,493,000","1,687,000","1,379,000","1,188,000","1,786,000","1,656,000","1,732,000","1,644,000","894,000"
EBITDA,EBITDA ($k),"18,288,000","17,907,000","17,868,000","16,635,000","16,909,000","14,252,000","13,193,000","12,639,000","9,413,000","10,977,000","10,054,000","9,970,000","12,451,000","11,530,000","11,421,000","11,344,000","10,119,000"
EBITDA,Stock-Based Comp ($k),"1,453,000","1,378,000","1,363,000","1,334,000","1,338,000","1,375,000","1,366,000","1,318,000","1,248,000","1,181,000","1,143,000","1,115,000","1,097,000","1,051,000","977,000","895,000","780,000"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,92.42,113.56,113.47,122.34,98.07,111.55,96.01,99.29,122.36,90.29,81.05,89.28,100.13,86.88,94.33,96.14,137.00
Capital Structure,O/S Shares,"1,766,000,000","1,786,000,000","1,804,000,000","1,799,000,000","1,808,000,000","1,812,000,000","1,814,000,000","1,821,000,000","1,834,000,000","1,832,000,000","1,831,000,000","1,829,000,000","1,828,000,000","1,825,000,000","1,824,000,000","1,823,000,000","1,822,000,000"
Capital Structure,Market Capitalization ($k),"163,213,720","202,818,160","204,699,880","220,089,660","177,310,560","202,128,600","174,162,140","180,807,090","224,408,240","165,411,280","148,402,550","163,293,120","183,037,640","158,556,000","172,057,920","175,263,220","249,614,000"
Capital Structure,Cash ($k),"5,682,000","5,678,000","5,695,000","5,367,000","5,852,000","5,486,000","6,002,000","5,954,000","6,635,000","7,192,000","14,182,000","11,458,000","10,399,000","8,470,000","11,615,000","12,959,000","13,272,000"
