Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-05-06,2026-02-17,2025-11-05,2025-08-06,2025-05-07,2025-02-19,2024-11-08,2024-07-31,2024-05-08,2024-02-13,2023-10-31,2023-08-01,2023-05-02,2023-02-14,2022-11-01,2022-08-02,2022-05-03
Revenue & Margin,Segment-1,-,Product,-,-,-,Product,-,-,-,Product,-,-,-,Product,-,-,-
Revenue & Margin,Segment-1 %,-,84.1%,-,-,-,84.0%,-,-,-,85.8%,-,-,-,84.8%,-,-,-
Revenue & Margin,Segment-2,-,Service,-,-,-,Service,-,-,-,Service,-,-,-,Service,-,-,-
Revenue & Margin,Segment-2 %,-,15.9%,-,-,-,16.0%,-,-,-,14.2%,-,-,-,15.2%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"9,709,900","9,005,700","8,448,336","7,950,936","7,436,536","7,003,136","6,613,137","6,311,693","6,080,217","5,860,168","5,595,283","5,262,628","4,855,595","4,381,310","3,930,217","3,502,113","3,157,541"
