Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-05-06,2026-02-25,2025-11-06,2025-08-07,2025-05-07,2025-02-26,2024-11-07,2024-08-08,2024-05-08,2024-02-21,2023-11-02,2023-08-03,2023-05-03,2023-10-23,2022-11-02,2022-08-03,2022-05-03
Revenue & Margin,Segment-1,-,Regulated Energy,-,-,-,Regulated Energy,-,-,-,Regulated Energy,-,-,-,Regulated Energy,-,-,-
Revenue & Margin,Segment-1 %,-,71.7%,-,-,-,71.9%,-,-,-,70.6%,-,-,-,60.5%,-,-,-
Revenue & Margin,Segment-2,-,Unregulated Energy,-,-,-,Unregulated Energy,-,-,-,Unregulated Energy,-,-,-,Unregulated Energy,-,-,-
Revenue & Margin,Segment-2 %,-,28.3%,-,-,-,28.1%,-,-,-,33.3%,-,-,-,39.5%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,Other,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-3.9%,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"984,500","930,000","886,146","866,684","840,184","787,184","757,473","728,882","698,175","670,604","672,570","672,076","675,953","680,704","653,767","630,049","601,661"
