Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2026-04-30,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30
Header,Filing Date,2026-05-27,2026-02-25,2025-12-22,2025-09-09,2025-05-28,2025-02-26,2024-12-19,2024-08-23,2024-05-24,2024-02-23,2023-12-12,2023-08-18,2023-05-19,2023-02-17,2022-12-12,2022-08-19,2022-05-20
Revenue & Margin,Segment-1,-,-,License and Maintenance,-,-,-,License and Maintenance,-,-,-,Product,-,-,-,Product,-,-
Revenue & Margin,Segment-1 %,-,-,49.5%,-,-,-,52.6%,-,-,-,45.2%,-,-,-,45.4%,-,-
Revenue & Margin,Segment-2,-,-,License,-,-,-,License,-,-,-,License and Maintenance,-,-,-,License and Maintenance,-,-
Revenue & Margin,Segment-2 %,-,-,28.5%,-,-,-,29.4%,-,-,-,31.8%,-,-,-,32.2%,-,-
Revenue & Margin,Segment-3,-,-,Technology Service,-,-,-,Technology Service,-,-,-,License,-,-,-,License,-,-
Revenue & Margin,Segment-3 %,-,-,22.0%,-,-,-,18.0%,-,-,-,13.4%,-,-,-,13.2%,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,Technology Service,-,-,-,Technology Service,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,9.7%,-,-,-,9.3%,-,-
Revenue & Margin,Revenue Total ($k),"8,679,380","8,007,661","7,054,178","6,435,304","6,221,316","6,071,762","6,127,436","6,090,578","5,919,219","5,727,251","5,577,602","5,262,766","5,156,142","5,172,627","5,081,542","4,949,669","4,759,033"
Revenue & Margin,Rev-CoGS / Rev,73.47%,75.14%,76.98%,79.12%,79.84%,79.64%,79.68%,80.25%,80.19%,80.44%,79.82%,79.56%,78.93%,78.91%,79.07%,79.48%,80.05%
Revenue & Margin,Rev-CoGS-SG&A / Rev,47.55%,49.58%,50.85%,53.34%,56.04%,55.70%,56.37%,57.63%,58.21%,58.75%,58.31%,57.24%,56.04%,56.09%,56.76%,57.15%,57.57%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,7.03%,10.82%,12.97%,17.16%,20.88%,20.67%,22.13%,24.22%,23.91%,24.02%,22.93%,20.25%,19.39%,20.70%,22.87%,22.93%,23.18%
Revenue & Margin,Net Income / Rev,8.90%,13.75%,18.89%,31.04%,34.77%,34.75%,36.94%,24.60%,24.10%,24.57%,22.05%,19.65%,17.85%,18.22%,19.38%,20.86%,21.19%
EBITDA,Net Income ($k),"772,789","1,101,253","1,332,220","1,997,630","2,163,176","2,109,951","2,263,380","1,498,464","1,426,661","1,407,464","1,229,888","1,034,198","920,572","942,443","984,594","1,032,541","1,008,561"
EBITDA,D & A ($k),"1,470,769","1,063,184","660,430","326,223","268,017","280,111","295,065","247,236","254,084","252,714","247,120","238,730","233,365","224,014","228,405","222,110","215,572"
EBITDA,Net Interest Expense ($k),"334,462","338,908","148,950","-45,072","-64,132","-73,151","-79,746","-69,358","-76,918","-80,132","-35,496","-29,267","-20,028","-13,124","-6,847","-3,502","-1,106"
EBITDA,Tax Provision ($k),"31,849","76,622","55,991","50,004","72,259","70,515","99,718","100,830","124,591","103,101","90,789","88,165","111,824","133,773","137,078","74,447","72,684"
EBITDA,EBITDA ($k),"2,609,869","2,579,967","2,197,591","2,328,785","2,439,320","2,387,426","2,578,417","1,777,172","1,728,418","1,683,147","1,532,301","1,331,826","1,245,733","1,287,106","1,343,230","1,325,596","1,295,711"
EBITDA,Stock-Based Comp ($k),"986,135","965,555","893,294","808,199","722,015","698,127","692,316","681,369","644,294","609,717","563,292","547,541","530,682","497,485","459,029","430,179","387,736"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,482.60,465.12,453.82,633.47,459.01,525.48,513.61,558.32,530.59,533.35,469.44,451.80,371.62,353.75,292.55,370.01,286.79
Capital Structure,O/S Shares,"190,513,000","160,174,000","160,174,000","160,174,000","154,927,000","154,408,000","153,916,000","153,417,000","152,971,000","152,311,000","151,972,000","152,023,000","153,320,224","152,401,000","152,761,000","152,938,000","153,090,000"
Capital Structure,Market Capitalization ($k),"91,941,574","74,500,131","72,690,165","101,465,424","71,113,042","81,138,316","79,052,797","85,655,779","81,164,883","81,235,072","71,341,736","68,683,991","56,976,862","53,911,854","44,690,231","56,588,589","43,904,681"
Capital Structure,Cash ($k),"2,412,472","2,129,572","2,888,030","2,526,475","14,119,095","3,653,880","3,896,532","1,839,815","1,502,920","1,118,944","1,433,966","1,686,144","1,544,592","1,154,873","1,417,608","1,383,559","1,573,620"
Capital Structure,Debt ($k),"10,841,960","10,044,210","14,293,418","15,140,314","10,742,251","665,037","684,457","673,875","644,717","669,960","677,596","689,184","689,924","690,433","656,371","669,060","680,262"
Capital Structure,Enterprise Value ($k),"100,371,062","82,414,769","84,095,553","114,079,263","67,736,198","78,149,473","75,840,722","84,489,839","80,306,680","80,786,088","70,585,366","67,687,031","56,122,194","53,447,414","43,928,994","55,874,090","43,011,323"
Capital Structure,netCommonStockIssuance ($k),0,0,"90,317","-118,308","103,891","14,417","89,064","28,037","105,628","9,483","-211,855","-267,967","-189,530","-238,386","-306,194","-176,560","-200,125"
Capital Structure,netDebtIssuance ($k),0,0,"-861,058","4,293,586","10,034,464","-1,289","26,872","-18,854","-6,715","-1,303",0,"-1,309",0,"-1,294",0,-900,0
Liquidity & Cash Flow,DSO,61.0,63.1,62.0,59.9,53.3,52.1,54.2,53.4,52.8,53.6,54.6,56.8,58.3,57.1,58.2,55.5,55.8
Liquidity & Cash Flow,DIO,62.7,70.4,87.6,105.5,113.4,113.8,110.5,111.7,106.6,101.6,88.0,82.5,76.3,72.4,73.6,78.6,86.2
Liquidity & Cash Flow,DPO,63.5,77.3,27.2,35.8,34.4,35.4,33.3,30.5,30.4,31.1,30.5,22.0,22.2,21.3,18.3,18.2,16.6
Liquidity & Cash Flow,CCC,60.2,56.2,122.3,129.7,132.4,130.5,131.4,134.5,128.9,124.1,112.2,117.3,112.4,108.3,113.5,115.9,125.3
Liquidity & Cash Flow,OCF ($k),"2,796,464","2,442,895","1,518,608","1,441,688","1,226,139","1,427,364","1,407,029","1,170,272","1,274,383","1,500,733","1,703,274","1,770,718","1,650,890","1,697,907","1,738,900","1,715,954","1,698,027"
Liquidity & Cash Flow,CapEx ($k),"-162,669","-164,059","-169,454","-139,297","-140,701","-123,485","-123,161","-171,870","-177,970","-187,466","-190,575","-171,655","-162,018","-140,337","-139,082","-132,170","-118,848"
Liquidity & Cash Flow,FCF ($k),"2,633,795","2,278,836","1,349,154","1,302,391","1,085,438","1,303,879","1,283,868","998,402","1,096,413","1,312,644","1,511,452","1,597,816","1,487,625","1,556,946","1,599,818","1,583,784","1,579,179"
BQR-Mid-Mkt,Total Debt / Equity,0.4x,0.3x,0.5x,0.5x,1.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x
BQR,Total Debt / Adj Ebitda,4.2x,3.9x,6.5x,6.5x,4.4x,0.3x,0.3x,0.4x,0.4x,0.4x,0.4x,0.5x,0.6x,0.5x,0.5x,0.5x,0.5x
BQR,Adj Ebitda / Interest Expense,7.8x,7.6x,14.8x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x,-999.0x
BQR,Net Income before extraordinary ($k),"772,789","1,101,253","1,332,220","1,997,630","2,163,176","2,109,951","2,263,380","1,498,464","1,426,661","1,407,464","1,229,888","1,034,198","920,572","942,443","984,594","1,032,541","1,008,561"
BQR,(NCO-CAPEX) / Total Debt,24.29%,22.69%,9.44%,8.60%,10.10%,196.06%,187.57%,148.16%,170.06%,195.93%,223.06%,231.84%,215.62%,225.50%,243.74%,236.72%,232.14%
BQR,Score: Operating Leverage,52,52,75,75,55,15,15,15,15,15,15,25,25,25,15,25,25
BQR,Score: ICR,45,48,35,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,35,25,25,25,25,25,25,25,25,25,25,25,35,35,35,25,25
