Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-10-31,2022-07-31,2022-04-30
Header,Filing Date,2026-05-01,2026-02-19,2025-10-29,2025-07-30,2025-04-30,2025-02-21,2024-10-30,2024-07-24,2024-04-24,2024-02-12,2023-10-23,2023-07-24,2023-04-24,2023-02-13,2022-10-24,2022-07-25,2022-04-25
Revenue & Margin,Segment-1,-,Product and maintenance,-,-,-,Product and maintenance,-,-,-,Product and maintenance,-,-,-,Product and maintenance,-,-,-
Revenue & Margin,Segment-1 %,-,91.0%,-,-,-,90.8%,-,-,-,93.7%,-,-,-,93.8%,-,-,-
Revenue & Margin,Segment-2,-,Technology Service,-,-,-,Technology Service,-,-,-,Technology Service,-,-,-,Technology Service,-,-,-
Revenue & Margin,Segment-2 %,-,9.0%,-,-,-,9.2%,-,-,-,6.3%,-,-,-,6.2%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"5,528,613","5,296,759","5,212,626","5,089,287","4,874,527","4,641,264","4,353,906","4,161,501","4,077,399","4,089,986","3,921,240","3,800,700","3,681,642","3,561,718","3,434,877","3,283,218","3,153,982"
Revenue & Margin,Rev-CoGS / Rev,88.85%,86.36%,85.55%,85.57%,85.86%,86.05%,87.79%,88.51%,89.31%,89.36%,89.18%,89.41%,89.18%,89.57%,89.87%,89.74%,89.83%
Revenue & Margin,Rev-CoGS-SG&A / Rev,68.05%,65.30%,64.73%,64.43%,64.19%,63.65%,64.43%,64.71%,65.72%,66.56%,65.80%,65.51%,65.35%,65.80%,65.99%,65.98%,65.55%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,31.11%,31.15%,31.49%,30.23%,30.00%,29.10%,28.26%,28.19%,28.91%,30.59%,28.71%,28.78%,29.26%,30.15%,30.81%,30.20%,28.35%
Revenue & Margin,Net Income / Rev,21.18%,20.94%,20.35%,19.88%,22.19%,22.74%,23.87%,25.36%,25.68%,25.46%,24.42%,23.41%,23.23%,23.84%,22.86%,23.61%,23.59%
EBITDA,Net Income ($k),"1,170,969","1,108,888","1,060,962","1,011,951","1,081,420","1,055,484","1,039,173","1,055,383","1,046,983","1,041,144","957,637","889,621","855,421","848,952","785,139","775,141","744,121"
EBITDA,D & A ($k),"196,427","164,971","218,834","219,890","209,292","195,932","180,578","162,428","149,156","142,608","142,234","132,887","132,687","135,430","123,952","130,818","132,371"
EBITDA,Net Interest Expense ($k),"43,674","14,957","13,027","16,181","17,231","13,515","12,367","5,411","2,841","6,548","14,025","15,831","17,480","18,701","11,236","13,020","14,237"
EBITDA,Tax Provision ($k),"423,485","413,155","404,772","394,414","360,048","340,335","282,056","232,385","223,499","240,782","172,752","193,087","201,508","196,411","243,753","190,174","131,814"
EBITDA,EBITDA ($k),"1,834,555","1,701,971","1,697,595","1,642,436","1,667,991","1,605,266","1,514,174","1,455,607","1,422,479","1,431,082","1,286,648","1,231,426","1,207,096","1,199,494","1,164,080","1,109,153","1,022,543"
EBITDA,Stock-Based Comp ($k),"372,581","342,011","448,519","441,459","410,703","391,219","371,394","350,413","339,452","325,611","312,177","297,596","285,258","270,439","251,420","230,715","216,963"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,277.87,312.58,351.26,308.15,254.33,300.46,271.03,310.92,312.13,272.37,234.30,234.52,210.09,160.64,163.43,149.64,165.63
Capital Structure,O/S Shares,"272,061,000","270,924,000","271,152,000","271,294,000","271,973,000","272,069,000","272,244,000","270,912,000","269,606,000","269,088,000","269,229,000","269,714,000","269,501,000","269,709,000","271,131,000","271,520,000","272,431,000"
Capital Structure,Market Capitalization ($k),"75,597,590","84,685,424","95,244,852","83,599,246","69,170,893","81,745,852","73,786,291","84,231,959","84,152,121","73,291,499","63,080,355","63,253,327","56,619,465","43,326,054","44,310,939","40,630,253","45,122,747"
Capital Structure,Cash ($k),"1,406,668","3,001,317","2,753,246","2,822,762","2,777,674","2,644,030","2,786,040","1,058,955","1,012,418","1,008,152","961,982","873,925","916,963","882,325","1,026,051","1,029,544","1,134,752"
Capital Structure,Debt ($k),"3,083,354","2,480,150","2,479,142","2,478,145","2,477,159","2,585,076","2,825,190","1,348,667","649,312","764,414","648,801","648,551","678,301","887,415","797,799","347,999","347,792"
Capital Structure,Enterprise Value ($k),"77,274,276","84,164,257","94,970,748","83,254,629","68,870,378","81,686,898","73,825,441","84,521,671","83,789,015","73,047,761","62,767,174","63,027,953","56,380,803","43,331,144","44,082,687","39,948,708","44,335,787"
Capital Structure,netCommonStockIssuance ($k),"-127,390","-192,177","-140,262","-173,476","-273,218","-159,979","-139,906","-124,237","-159,404","-137,605","-114,363","-391,965","-59,640","-307,151","-136,104","-352,683","-260,686"
Capital Structure,netDebtIssuance ($k),"425,000",0,0,0,0,"-350,000","1,496,595","700,000",0,0,0,"-30,000","-70,000","-50,000","450,000",0,0
Liquidity & Cash Flow,DSO,56.8,50.8,47.0,44.7,44.7,43.2,42.4,41.7,40.2,42.6,44.0,45.1,45.5,43.9,41.7,41.0,42.1
Liquidity & Cash Flow,DIO,167.9,131.6,120.6,124.6,125.5,128.0,142.9,134.1,140.5,128.5,120.1,115.5,109.1,112.7,117.1,117.6,118.9
Liquidity & Cash Flow,DPO,276.6,224.9,112.5,36.9,0.7,0.8,15.7,17.4,19.1,19.1,10.1,10.7,10.8,11.6,0.0,0.0,0.0
Liquidity & Cash Flow,CCC,-51.9,-42.4,55.2,132.4,169.4,170.4,169.6,158.4,161.6,152.0,154.0,150.0,143.8,145.0,158.9,158.6,161.0
Liquidity & Cash Flow,OCF ($k),"1,597,542","1,728,781","1,616,645","1,715,978","1,494,340","1,260,551","1,091,283","1,077,202","1,335,007","1,349,176","1,340,720","1,261,916","1,172,687","1,241,894","1,194,116","1,173,289","1,229,124"
Liquidity & Cash Flow,CapEx ($k),"-167,630","-141,871","-138,032","-130,888","-116,002","-142,542","-139,209","-134,648","-125,385","-102,503","-105,554","-127,918","-132,054","-124,215","-104,199","-78,694","-68,793"
Liquidity & Cash Flow,FCF ($k),"1,429,912","1,586,910","1,478,613","1,585,090","1,378,338","1,118,009","952,074","942,554","1,209,622","1,246,673","1,235,166","1,133,998","1,040,633","1,117,679","1,089,917","1,094,595","1,160,331"
BQR-Mid-Mkt,Total Debt / Equity,0.5x,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.3x,0.2x,0.2x,0.2x,0.2x,0.2x,0.3x,0.3x,0.1x,0.1x
BQR,Total Debt / Adj Ebitda,1.7x,1.5x,1.5x,1.5x,1.5x,1.6x,1.9x,0.9x,0.5x,0.5x,0.5x,0.5x,0.6x,0.7x,0.7x,0.3x,0.3x
