Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-04-29,2026-02-20,2025-10-29,2025-07-30,2025-04-30,2025-02-21,2024-10-31,2024-07-31,2024-05-02,2024-02-16,2023-11-01,2023-08-03,2023-05-04,2023-02-17,2022-11-01,2022-08-02,2022-05-03
Revenue & Margin,Segment-1,-,Medical Devices,-,-,-,Medical Devices,-,-,-,Medical Devices,-,-,-,Diagnostic Products,-,-,-
Revenue & Margin,Segment-1 %,-,48.3%,-,-,-,45.3%,-,-,-,42.1%,-,-,-,38.0%,-,-,-
Revenue & Margin,Segment-2,-,Diagnostic Products,-,-,-,Diagnostic Products,-,-,-,Diagnostic Products,-,-,-,Medical Devices,-,-,-
Revenue & Margin,Segment-2 %,-,20.2%,-,-,-,22.3%,-,-,-,24.9%,-,-,-,33.7%,-,-,-
Revenue & Margin,Segment-3,-,Nutritional Products,-,-,-,Nutritional Products,-,-,-,Nutritional Products,-,-,-,Nutritional Products,-,-,-
Revenue & Margin,Segment-3 %,-,19.1%,-,-,-,20.1%,-,-,-,20.3%,-,-,-,17.1%,-,-,-
Revenue & Margin,Others,-,Established Pharmaceutical Products,-,-,-,Established Pharmaceutical Products,-,-,-,Established Pharmaceutical Products,-,-,-,Established Pharmaceutical Products,-,-,-
Revenue & Margin,Others %,-,12.5%,-,-,-,12.4%,-,-,-,12.6%,-,-,-,11.3%,-,-,-
