Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2022-12-31,2022-10-31,2022-07-31,2022-04-30
Header,Filing Date,2026-05-01,2026-02-26,2025-10-31,2025-08-01,2025-05-02,2025-02-20,2024-11-01,2024-08-02,2024-05-03,2024-02-22,2023-11-03,2023-08-04,2023-05-05,2023-02-23,2022-11-04,2022-08-05,2022-05-06
Revenue & Margin,Segment-1,-,Consumables,-,-,-,Service,-,-,-,Service,-,-,-,Consumables,-,-,-
Revenue & Margin,Segment-1 %,-,41.9%,-,-,-,41.6%,-,-,-,41.1%,-,-,-,45.9%,-,-,-
Revenue & Margin,Segment-2,-,Service,-,-,-,Consumables,-,-,-,Consumables,-,-,-,Service,-,-,-
Revenue & Margin,Segment-2 %,-,41.7%,-,-,-,41.0%,-,-,-,41.1%,-,-,-,36.4%,-,-,-
Revenue & Margin,Segment-3,-,Instruments,-,-,-,Instruments,-,-,-,Instruments,-,-,-,Instruments,-,-,-
Revenue & Margin,Segment-3 %,-,16.4%,-,-,-,17.4%,-,-,-,17.8%,-,-,-,17.6%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"45,197,000","44,556,000","43,736,000","43,212,000","42,898,000","42,879,000","42,370,000","42,346,000","42,492,000","42,857,000","43,421,000","43,524,000","43,807,000","44,915,000","44,167,000","42,820,000","41,123,000"
Revenue & Margin,Rev-CoGS / Rev,39.41%,39.46%,39.81%,39.58%,40.56%,40.51%,39.79%,39.78%,39.47%,39.06%,39.02%,38.90%,39.37%,41.30%,43.75%,45.88%,47.64%
Revenue & Margin,Rev-CoGS-SG&A / Rev,21.89%,21.09%,21.45%,21.65%,21.41%,21.11%,20.60%,20.68%,20.68%,20.50%,20.37%,19.90%,20.18%,22.26%,24.21%,26.35%,28.14%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,17.76%,17.96%,18.22%,18.38%,18.14%,17.87%,17.43%,17.58%,17.57%,17.38%,17.14%,16.60%,16.86%,18.98%,20.87%,22.91%,24.61%
Revenue & Margin,Net Income / Rev,15.18%,15.07%,15.02%,15.24%,15.19%,14.78%,14.48%,14.69%,14.20%,13.99%,13.68%,13.14%,13.75%,15.47%,15.92%,17.37%,18.49%
EBITDA,Net Income ($k),"6,859,000","6,715,000","6,570,000","6,584,000","6,515,000","6,336,000","6,136,000","6,221,000","6,034,000","5,995,000","5,941,000","5,721,000","6,024,000","6,950,000","7,032,000","7,439,000","7,603,000"
