Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-05-07,2026-02-27,2025-11-06,2025-08-07,2025-05-12,2025-03-11,2024-11-07,2024-08-08,2024-05-10,2024-03-20,2023-11-08,2023-08-09,2023-05-12,2023-03-31,2022-11-14,2022-08-15,2022-05-13
Revenue & Margin,Segment-1,-,Europe,-,-,-,Europe,-,-,-,UNITED STATES,-,-,-,UNITED STATES,-,-,-
Revenue & Margin,Segment-1 %,-,89.9%,-,-,-,50.6%,-,-,-,70.9%,-,-,-,90.8%,-,-,-
Revenue & Margin,Segment-2,-,Other Geographical Areas,-,-,-,UNITED STATES,-,-,-,Europe,-,-,-,NETHERLANDS,-,-,-
Revenue & Margin,Segment-2 %,-,10.1%,-,-,-,49.4%,-,-,-,29.0%,-,-,-,3.3%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,Other Geographical Areas,-,-,-,Other Geographical Areas,-,-,-,LUXEMBOURG,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,0.1%,-,-,-,0.0%,-,-,-,2.0%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,"ITALY, GERMANY, SPAIN, Other Geographical Areas, KOREA, REPUBLIC OF, POLAND",-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,3.9%,-,-,-
