Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-04-23,2026-01-29,2025-10-21,2025-07-22,2025-04-22,2025-01-28,2024-10-22,2024-07-23,2024-04-23,2024-01-23,2023-10-17,2023-07-19,2023-04-18,2023-01-26,2022-10-18,2022-07-19,2022-04-20
Revenue & Margin,Segment-1,-,Aeronautics,-,-,-,Aeronautics,-,-,-,Aeronautics,-,-,-,Aeronautics,-,-,-
Revenue & Margin,Segment-1 %,-,40.3%,-,-,-,40.3%,-,-,-,40.7%,-,-,-,40.9%,-,-,-
Revenue & Margin,Segment-2,-,Rotary and Mission Systems,-,-,-,Rotary and Mission Systems,-,-,-,Rotary and Mission Systems,-,-,-,Rotary and Mission Systems,-,-,-
Revenue & Margin,Segment-2 %,-,23.1%,-,-,-,24.3%,-,-,-,24.0%,-,-,-,24.5%,-,-,-
Revenue & Margin,Segment-3,-,Missiles And Fire Control,-,-,-,Missiles And Fire Control,-,-,-,Space,-,-,-,Space,-,-,-
Revenue & Margin,Segment-3 %,-,19.3%,-,-,-,17.9%,-,-,-,18.7%,-,-,-,17.5%,-,-,-
Revenue & Margin,Others,-,Space,-,-,-,Space,-,-,-,Missiles And Fire Control,-,-,-,Missiles And Fire Control,-,-,-
Revenue & Margin,Others %,-,17.4%,-,-,-,17.6%,-,-,-,16.7%,-,-,-,17.2%,-,-,-
