Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2026-05-31,2026-02-28,2025-11-30,2025-08-31,2025-05-31,2025-03-31,2024-11-30,2024-08-31,2024-06-30,2024-03-31,2023-12-31,2023-08-31,2023-06-30,2023-03-31,2022-12-31,2022-08-31,2022-05-31
Header,Filing Date,2026-07-01,2026-04-01,2026-01-07,2025-10-23,2025-07-01,2025-04-03,2025-01-08,2024-10-24,2024-07-02,2024-03-28,2024-01-09,2023-10-25,2023-06-29,2023-04-04,2023-01-05,2022-10-20,2022-06-29
Revenue & Margin,Segment-1,-,-,-,Reportable Segment,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,100.0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total ($k),"3,908,716","3,832,778","3,806,721","3,769,521","3,743,630","3,751,835","3,795,466","3,820,951","3,904,108","3,979,222","4,005,506","4,009,282","3,996,086","3,900,201","3,801,091","3,691,893","3,500,679"
Revenue & Margin,Rev-CoGS / Rev,40.82%,40.78%,40.73%,40.75%,40.90%,40.88%,41.03%,41.15%,41.03%,40.97%,40.90%,40.98%,41.33%,41.89%,42.18%,42.21%,41.76%
Revenue & Margin,Rev-CoGS-SG&A / Rev,9.50%,0.72%,0.57%,-7.86%,8.52%,9.17%,9.96%,10.62%,11.07%,11.51%,11.89%,12.27%,12.75%,13.14%,13.06%,12.85%,12.38%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,8.80%,8.45%,8.41%,8.32%,8.51%,9.15%,9.95%,10.61%,11.07%,11.51%,11.89%,12.27%,12.75%,13.14%,13.06%,12.85%,12.38%
Revenue & Margin,Net Income / Rev,5.90%,5.40%,5.37%,5.29%,5.30%,5.69%,6.21%,6.77%,7.44%,7.89%,8.27%,8.56%,9.00%,9.34%,9.34%,9.20%,8.62%
EBITDA,Net Income ($k),"230,544","207,027","204,509","199,328","198,474","213,334","235,867","258,594","290,501","313,976","331,269","343,233","359,765","364,242","355,033","339,786","301,589"
EBITDA,D & A ($k),"97,370","94,819","92,168","88,739","88,286","85,372","82,973","81,073","79,295","83,226","86,304","89,960","197,934","196,099","193,798","191,990","89,208"
EBITDA,Net Interest Expense ($k),"21,368","21,804","22,340","22,933","23,895","24,982","25,897","25,358","23,213","20,988","19,885","21,509","23,033","22,768","20,559","17,449","15,429"
EBITDA,Tax Provision ($k),"75,820","68,534","67,240","65,742","67,915","73,686","79,510","86,792","92,885","100,127","108,600","113,049","118,139","120,290","116,936","110,650","98,082"
EBITDA,EBITDA ($k),"425,102","392,184","386,257","376,742","378,570","397,374","424,247","451,817","485,894","518,317","546,058","567,751","698,871","703,399","686,326","659,875","504,308"
EBITDA,Stock-Based Comp ($k),"9,328","9,328","4,378",0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,109.47,93.84,88.96,90.23,81.20,80.36,85.88,82.24,85.90,100.20,98.83,102.06,93.54,85.94,85.65,79.21,85.23
Capital Structure,O/S Shares,"55,838,000","55,809,000","55,804,000","55,739,000","55,694,000","55,793,000","55,897,000","56,061,000","56,214,000","56,325,000","56,429,000","55,939,000","55,963,000","55,880,000","56,078,620","55,858,000","55,914,000"
Capital Structure,Market Capitalization ($k),"6,112,586","5,237,117","4,964,324","5,029,330","4,522,353","4,483,525","4,800,434","4,610,457","4,828,783","5,643,765","5,576,878","5,709,134","5,234,779","4,802,327","4,803,134","4,424,512","4,765,550"
Capital Structure,Cash ($k),"74,094","46,192","40,254","56,228","71,692","41,276","57,266","29,588","25,928","22,227","25,805","50,052","58,428","49,615","26,331","43,537","28,847"
Capital Structure,Debt ($k),"555,924","558,732","580,027","538,807","575,966","589,647","575,752","568,173","567,914","615,219","600,582","521,418","525,769","615,456","844,332","860,768","850,066"
Capital Structure,Enterprise Value ($k),"6,594,416","5,749,657","5,504,097","5,511,909","5,026,627","5,031,896","5,318,920","5,149,042","5,370,769","6,236,757","6,151,655","6,180,500","5,702,120","5,368,168","5,621,135","5,241,743","5,586,769"
Capital Structure,netCommonStockIssuance ($k),710,446,"-12,051","8,884","-7,641","-11,261","-16,923","-18,814","-16,769","-14,050","-124,049","-57,699","10,912","-6,753","-10,203","-8,364","10,461"
Capital Structure,netDebtIssuance ($k),"-6,134","-18,866","45,000","-36,211","-17,750","19,199","11,750","-3,975","-45,000","14,226","84,624","-13,254","-85,000","-229,343","-13,939","3,460","-46,984"
Liquidity & Cash Flow,DSO,38.3,39.0,39.8,39.6,39.6,39.8,40.1,40.0,39.7,39.4,38.7,44.9,50.8,57.4,63.9,63.1,63.2
Liquidity & Cash Flow,DIO,105.2,105.8,105.1,105.2,106.2,106.6,107.3,109.7,110.5,110.6,112.2,112.9,113.5,115.5,115.4,114.4,115.6
Liquidity & Cash Flow,DPO,35.4,35.4,35.2,35.1,34.7,34.3,33.8,32.8,32.9,32.4,32.1,33.0,33.0,33.7,34.1,33.6,33.8
Liquidity & Cash Flow,CCC,108.1,109.4,109.7,109.7,111.2,112.1,113.6,116.9,117.3,117.6,118.8,124.7,131.3,139.2,145.2,143.9,145.1
Liquidity & Cash Flow,OCF ($k),"305,791","301,192","261,260","333,717","360,724","407,119","431,396","410,696","435,938","443,053","704,726","699,582","677,958","605,202","264,403","246,183","220,404"
Liquidity & Cash Flow,CapEx ($k),"-85,861","-86,208","-94,678","-92,840","-97,161","-105,580","-101,141","-99,406","-101,734","-95,705","-85,422","-92,493","-80,543","-70,765","-71,615","-61,373","-61,091"
Liquidity & Cash Flow,FCF ($k),"219,930","214,984","166,582","240,877","263,563","301,539","330,255","311,290","334,204","347,348","619,304","607,089","597,415","534,437","192,788","184,810","159,313"
BQR-Mid-Mkt,Total Debt / Equity,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.6x,0.6x,0.7x
BQR,Total Debt / Adj Ebitda,1.3x,1.4x,1.5x,1.4x,1.5x,1.5x,1.4x,1.3x,1.2x,1.2x,1.1x,0.9x,0.8x,0.9x,1.2x,1.3x,1.7x
BQR,Adj Ebitda / Interest Expense,19.9x,18.0x,17.3x,16.4x,15.8x,15.9x,16.4x,17.8x,20.9x,24.7x,27.5x,26.4x,30.3x,30.9x,33.4x,37.8x,32.7x
BQR,Net Income before extraordinary ($k),"230,544","207,027","204,509","199,328","198,474","213,334","235,867","258,594","290,501","313,976","331,269","343,233","359,765","364,242","355,033","339,786","301,589"
